,Unnamed: 0,id,first_name,last_name,full_name
421,421,1630590,Scotty,Pippen Jr.,Scotty Pippen Jr.
422,422,1631342,Daeqwon,Plowden,Daeqwon Plowden
423,423,203486,Mason,Plumlee,Mason Plumlee
424,424,1641764,Brandin,Podziemski,Brandin Podziemski
425,425,1629673,Jordan,Poole,Jordan Poole
426,426,1641854,Craig,Porter Jr.,Craig Porter Jr.
427,427,1629645,Kevin,Porter Jr.,Kevin Porter Jr.
428,428,1629008,Michael,Porter Jr.,Michael Porter Jr.
429,429,1626171,Bobby,Portis,Bobby Portis
430,430,204001,Kristaps,Porziņģis,Kristaps Porziņģis
431,431,1642366,Quinten,Post,Quinten Post
432,432,1630695,Micah,Potter,Micah Potter
433,433,203939,Dwight,Powell,Dwight Powell
434,434,1626181,Norman,Powell,Norman Powell
435,435,1630554,Jason,Preston,Jason Preston
436,436,1627752,Taurean,Prince,Taurean Prince
437,437,1630202,Payton,Pritchard,Payton Pritchard
438,438,1641765,Olivier-Maxence,Prosper,Olivier-Maxence Prosper
439,439,1642389,Zyon,Pullin,Zyon Pullin
440,440,1627751,Jakob,Pöltl,Jakob Pöltl
441,441,1630243,Trevelin,Queen,Trevelin Queen
442,442,1629674,Neemias,Queta,Neemias Queta
443,443,1630193,Immanuel,Quickley,Immanuel Quickley
444,444,1631311,Lester,Quinones,Lester Quinones
445,445,1630186,Jahmi'us,Ramsey,Jahmi'us Ramsey
446,446,203944,Julius,Randle,Julius Randle
447,447,1641871,Duop,Reath,Duop Reath
448,448,1630559,Austin,Reaves,Austin Reaves
449,449,1629629,Cam,Reddish,Cam Reddish
450,450,1630194,Paul,Reed,Paul Reed
451,451,1642024,Alex,Reese,Alex Reese
452,452,1641810,Antonio,Reeves,Antonio Reeves
453,453,1629675,Naz,Reid,Naz Reid
454,454,1631197,Jared,Rhoden,Jared Rhoden
455,455,1630208,Nick,Richards,Nick Richards
456,456,1626196,Josh,Richardson,Josh Richardson
457,457,1642019,Will,Richardson,Will Richardson
458,458,1642258,Zaccharie,Risacher,Zaccharie Risacher
459,459,1641857,Liam,Robbins,Liam Robbins
460,460,1629130,Duncan,Robinson,Duncan Robinson
461,461,1629011,Mitchell,Robinson,Mitchell Robinson
462,462,1631115,Orlando,Robinson,Orlando Robinson
463,463,1630526,Jeremiah,Robinson-Earl,Jeremiah Robinson-Earl
464,464,1631223,David,Roddy,David Roddy
465,465,1631157,Ryan,Rollins,Ryan Rollins
466,466,1642050,Jackson,Rowe,Jackson Rowe
467,467,1626179,Terry,Rozier,Terry Rozier
468,468,1641712,Rayan,Rupert,Rayan Rupert
469,469,1626156,D'Angelo,Russell,D'Angelo Russell
470,470,1642504,Cormac,Ryan,Cormac Ryan
471,471,1630346,Matt,Ryan,Matt Ryan
472,472,1627734,Domantas,Sabonis,Domantas Sabonis
473,473,1642275,Tidjane,Salaün,Tidjane Salaün
474,474,1631257,Jermaine,Samuels Jr.,Jermaine Samuels Jr.
475,475,1641766,Adama,Sanogo,Adama Sanogo
476,476,1630611,Gui,Santos,Gui Santos
477,477,1642259,Alexandre,Sarr,Alexandre Sarr
478,478,1631204,Marcus,Sasser,Marcus Sasser
479,479,1631248,Baylor,Scheierman,Baylor Scheierman
480,480,203471,Dennis,Schröder,Dennis Schröder
481,481,1630206,Jay,Scrubb,Jay Scrubb
482,482,1631220,Dereon,Seabron,Dereon Seabron
483,483,1630578,Alperen,Sengun,Alperen Sengun
484,484,1641729,Brice,Sensabaugh,Brice Sensabaugh
485,485,1629012,Collin,Sexton,Collin Sexton
486,486,1629013,Landry,Shamet,Landry Shamet
487,487,1630545,Terrence,Shannon Jr.,Terrence Shannon Jr.
488,488,1642481,Jamarion,Sharp,Jamarion Sharp
489,489,1630549,Day'Ron,Sharpe,Day'Ron Sharpe
490,490,1631101,Shaedon,Sharpe,Shaedon Sharpe
491,491,1642347,Jamal,Shead,Jamal Shead
492,492,1641767,Ben,Sheppard,Ben Sheppard
493,493,1642263,Reed,Sheppard,Reed Sheppard
494,494,1627783,Pascal,Siakam,Pascal Siakam
495,495,1627732,Ben,Simmons,Ben Simmons
496,496,1629014,Anfernee,Simons,Anfernee Simons
497,497,1642354,K.J.,Simpson,K.J. Simpson
498,498,1630579,Jericho,Sims,Jericho Sims
499,499,1631376,Dmytro,Skapintsev,Dmytro Skapintsev
500,500,1641771,Jalen,Slawson,Jalen Slawson
501,501,1630606,Javonte,Smart,Javonte Smart
502,502,203935,Marcus,Smart,Marcus Smart
503,503,1630696,Dru,Smith,Dru Smith
504,504,1630188,Jalen,Smith,Jalen Smith
505,505,1642449,Tolu,Smith,Tolu Smith
506,506,1641890,Tyler,Smith,Tyler Smith
507,507,1629015,Zhaire,Smith,Zhaire Smith
